X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-126.450783337352,51.5931219882393,157,101,MACHMELL,FAL,51.593117,-126.450767,332,1997/07/07 22:00:00+00,965262
-128.575867857261,54.1696050602136,158,106,KITPARK,FKI,54.1696,-128.57585,75,1995/07/12 22:00:00+00,965263
-130.018736729629,58.4257878734718,159,108,DEASE LAKE FS,FDL,58.425783,-130.018717,800,1996/05/08 22:00:00+00,965264
-133.664404145742,59.5844873061465,160,111,ATLIN,FAT,59.584483,-133.664383,729,1990/09/11 22:00:00+00,965265
-130.250819316479,56.9809878414435,161,113,BOB QUINN LAKE,FBQ,56.980983,-130.2508,609,1991/04/15 22:00:00+00,965266
-122.274183789831,54.7161726171741,162,144,TABLE RIVER,FTA,54.716167,-122.274167,760,1989/01/15 23:00:00+00,965267
-125.180407485662,57.0194222702776,163,145,INGENIKA POINT,FIN,57.019417,-125.180389,680,1995/05/22 22:00:00+00,965268
-124.260989501554,54.3940889447931,164,146,FORT ST JAMES,FFJ,54.394083,-124.260972,750,1992/07/15 22:00:00+00,965269
-125.367990491402,56.3187833329518,165,148,BLACKPINE,FBP,56.318778,-125.367972,1126,1995/06/20 22:00:00+00,965270
-122.682934069461,54.4824388565706,166,149,BEAR LAKE,FRL,54.482433,-122.682917,715,1988/11/21 23:00:00+00,965271
-123.365577975115,56.3643358119135,167,151,NABESHE,FSH,56.36433,-123.36556,1108,1995/06/15 22:00:00+00,965272
-126.116779147773,57.8517554463327,168,152,SIFTON,FSF,57.85175,-126.11676,985,1995/01/30 23:00:00+00,965273
-123.078683933587,54.7255336104976,169,153,MCLEOD LAKE,FOD,54.725528,-123.078667,915,1994/09/07 22:00:00+00,965274
-124.266628653038,55.0230356592711,170,154,WITCH,FWT,55.02303,-124.266611,1030,1994/09/15 22:00:00+00,965275
-123.135867470633,55.2863728178903,171,155,MACKENZIE FS,FMM,55.286367,-123.13585,697,1994/09/06 22:00:00+00,965276
-124.008878229093,54.055811269517,172,158,VANDERHOOF HUB,FVN,54.055806,-124.008861,678,1996/07/17 22:00:00+00,965277
-123.754147125345,54.1546357058947,173,159,NORTH CHILCO,FNR,54.15463,-123.75413,850,1995/06/02 22:00:00+00,965278
-126.052629219443,55.6882276278619,174,163,LOVELL COVE,FLC,55.688222,-126.052611,990,1994/05/26 22:00:00+00,965279
